acter1,acter1_percentage,acter2,acter2_percentage,lines_matched
Student_015,26,Student_035,24,116
Student_020,20,Student_037,27,58
Student_008,28,Student_049,21,57
Student_009,13,Student_023,24,53
Student_002,21,Student_023,24,65
Student_009,13,Student_020,20,54
Student_030,15,Student_035,14,47
Student_002,21,Student_009,12,49
Student_002,18,Student_037,23,57
Student_015,13,Student_050,14,52
Student_008,24,Student_020,17,47
Student_020,16,Student_023,20,52
Student_038,23,Student_043,17,64
Student_023,19,Student_045,17,53
Student_013,18,Student_020,15,57
Student_020,15,Student_025,14,42
Student_008,22,Student_023,19,41
Student_009,9,Student_031,9,43
Student_008,20,Student_009,9,32
Student_021,9,Student_022,7,57
Student_024,18,Student_047,10,47
Student_016,13,Student_020,14,44
Student_013,16,Student_045,16,47
Student_008,20,Student_037,19,38
Student_002,15,Student_045,15,37
Student_042,16,Student_043,14,48
Student_013,16,Student_023,17,36
Student_002,14,Student_049,14,59
Student_009,8,Student_037,18,37
Student_024,16,Student_045,15,52
Student_016,12,Student_031,8,30
Student_008,18,Student_016,12,36
Student_002,14,Student_046,11,54
Student_023,16,Student_037,17,40
Student_020,13,Student_031,8,31
Student_009,8,Student_049,14,39
Student_002,13,Student_020,12,38
Student_042,14,Student_045,14,34
Student_030,9,Student_044,11,62
Student_011,8,Student_022,6,40
Student_032,10,Student_050,10,26
Student_008,17,Student_024,15,31
Student_020,12,Student_024,15,32
Student_023,15,Student_024,15,42
Student_011,7,Student_021,7,40
Student_009,7,Student_024,14,27
Student_015,9,Student_030,8,38
Student_002,12,Student_016,11,39
Student_023,13,Student_047,7,34
Student_029,10,Student_048,10,43
Student_002,12,Student_029,10,29
Student_043,11,Student_048,10,42
Student_037,14,Student_049,11,29
Student_042,12,Student_047,7,27
Student_002,11,Student_042,12,36
Student_009,7,Student_025,9,26
Student_047,7,Student_048,9,37
Student_009,7,Student_013,12,31
Student_029,10,Student_043,11,35
Student_002,11,Student_013,12,33
Student_016,10,Student_037,14,24
Student_045,11,Student_047,7,39
Student_025,9,Student_037,14,30
Student_024,12,Student_029,10,27
Student_008,14,Student_048,9,36
Student_023,12,Student_025,9,39
Student_013,11,Student_047,7,34
Student_020,10,Student_049,10,26
Student_002,10,Student_025,9,23
Student_016,9,Student_049,10,37
Student_002,10,Student_008,14,35
Student_043,10,Student_046,8,47
Student_043,10,Student_047,6,28
Student_020,9,Student_044,8,31
Student_007,4,Student_042,11,21
Student_002,10,Student_024,12,23
Student_024,11,Student_043,10,30
Student_020,9,Student_043,10,39
Student_020,9,Student_032,7,23
Student_009,6,Student_047,6,35
Student_031,5,Student_036,6,39
Student_024,11,Student_044,8,26
Student_035,6,Student_050,7,28
Student_013,10,Student_046,7,33
Student_038,12,Student_046,7,37
Student_037,12,Student_047,6,34
Student_016,8,Student_047,6,23
Student_009,5,Student_016,8,17
Student_021,5,Student_031,5,22
Student_031,5,Student_042,10,20
Student_030,6,Student_050,7,27
Student_009,5,Student_045,9,25
Student_046,7,Student_050,7,27
Student_029,8,Student_031,5,11
Student_024,10,Student_048,8,35
Student_029,8,Student_038,12,30
Student_020,8,Student_047,6,33
Student_020,8,Student_028,9,28
Student_001,6,Student_015,6,32
Student_037,11,Student_048,7,30
Student_013,9,Student_043,8,41
Student_009,5,Student_043,8,24
Student_042,9,Student_048,7,31
Student_020,8,Student_027,7,18
Student_032,6,Student_046,7,23
Student_020,8,Student_029,8,24
Student_011,5,Student_044,7,27
Student_027,7,Student_049,8,16
